image_path,caption
images/Rice.jpg,A healthy Rice growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Wheat.jpg,A healthy Wheat growing in a Loam field; close-up of leaves and soil conditions.
images/Sugarcane.jpg,A healthy Sugarcane growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Cotton.jpg,A healthy Cotton growing in a Black Cotton field; close-up of leaves and soil conditions.
images/Jute.jpg,A healthy Jute growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Groundnut.jpg,A healthy Groundnut growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Rapeseed_Mustard.jpg,A healthy Rapeseed_Mustard growing in a Loam field; close-up of leaves and soil conditions.
images/Gram.jpg,A healthy Gram growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Tur_Arhar.jpg,A healthy Tur_Arhar growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Maize.jpg,A healthy Maize growing in a Loam field; close-up of leaves and soil conditions.
images/Jowar.jpg,A healthy Jowar growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Bajra.jpg,A healthy Bajra growing in a Sandy field; close-up of leaves and soil conditions.
images/Sesamum.jpg,A healthy Sesamum growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Sunflower.jpg,A healthy Sunflower growing in a Loam field; close-up of leaves and soil conditions.
images/Safflower.jpg,A healthy Safflower growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Linseed.jpg,A healthy Linseed growing in a Loam field; close-up of leaves and soil conditions.
images/Castor.jpg,A healthy Castor growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Niger.jpg,A healthy Niger growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Tobacco.jpg,A healthy Tobacco growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Jwar.jpg,A healthy Jwar growing in a Sandy Clay field; close-up of leaves and soil conditions.
images/Barley.jpg,A healthy Barley growing in a Loam field; close-up of leaves and soil conditions.
images/Oats.jpg,A healthy Oats growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Ragi.jpg,A healthy Ragi growing in a Red Soil field; close-up of leaves and soil conditions.
images/Coconut.jpg,A healthy Coconut growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Arecanut.jpg,A healthy Arecanut growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Coffee.jpg,A healthy Coffee growing in a Red Soil field; close-up of leaves and soil conditions.
images/Tea.jpg,A healthy Tea growing in a Acidic Soil field; close-up of leaves and soil conditions.
images/Cardamom.jpg,A healthy Cardamom growing in a Forest Soil field; close-up of leaves and soil conditions.
images/Black_Pepper.jpg,A healthy Black_Pepper growing in a Laterite field; close-up of leaves and soil conditions.
images/Turmeric.jpg,A healthy Turmeric growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Ginger.jpg,A healthy Ginger growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Coriander.jpg,A healthy Coriander growing in a Loam field; close-up of leaves and soil conditions.
images/Cumin.jpg,A healthy Cumin growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Fennel.jpg,A healthy Fennel growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Fenugreek.jpg,A healthy Fenugreek growing in a Loam field; close-up of leaves and soil conditions.
images/Onion.jpg,A healthy Onion growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Potato.jpg,A healthy Potato growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Tomato.jpg,A healthy Tomato growing in a Loam field; close-up of leaves and soil conditions.
images/Brinjal.jpg,A healthy Brinjal growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Okra.jpg,A healthy Okra growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Cabbage.jpg,A healthy Cabbage growing in a Loam field; close-up of leaves and soil conditions.
images/Cauliflower.jpg,A healthy Cauliflower growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Carrot.jpg,A healthy Carrot growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Green_Peas.jpg,A healthy Green_Peas growing in a Clay Loam field; close-up of leaves and soil conditions.
images/Sweet_Potato.jpg,A healthy Sweet_Potato growing in a Sandy Loam field; close-up of leaves and soil conditions.
images/Cassava.jpg,A healthy Cassava growing in a Red Soil field; close-up of leaves and soil conditions.
