location,crop_type,growth_stage,temperature_c,humidity_pct,leaf_wetness_hours,ndvi,lesion_count_per_leaf,severity_percent,recommended_treatment,pesticide,application_rate,notes,image_path,day_of_year,month,week_of_year,season,day_sin,day_cos,month_sin,month_cos,heat_index,disease_pressure_index,plant_stress,crop_vulnerability,stage_vulnerability,temperature_c_x_humidity_pct,temperature_c_x_leaf_wetness_hours,temperature_c_x_ndvi,temperature_c_x_lesion_count_per_leaf,temperature_c_x_severity_percent,temperature_c_x_day_of_year,temperature_c_x_month,temperature_c_x_week_of_year,temperature_c_x_day_sin,temperature_c_x_day_cos,temperature_c_x_month_sin,temperature_c_x_month_cos,temperature_c_x_heat_index,temperature_c_x_disease_pressure_index,temperature_c_x_crop_vulnerability,temperature_c_x_stage_vulnerability,humidity_pct_x_leaf_wetness_hours,humidity_pct_x_ndvi,humidity_pct_x_lesion_count_per_leaf,humidity_pct_x_severity_percent,temperature_c_squared,temperature_c_sqrt,humidity_pct_squared,humidity_pct_sqrt,leaf_wetness_hours_squared,leaf_wetness_hours_sqrt,ndvi_squared,ndvi_sqrt,lesion_count_per_leaf_squared,lesion_count_per_leaf_sqrt,disease_label
13,0,0,30.5,78.8,31.6,0.379,2.0,13.8,2,1,1,0,0,252.0,9.0,36.0,0,-0.9307239310379793,-0.3657225234972692,-1.0,-1.8369701987210297e-16,38.857252297624484,79.05015873015873,2,0.5,0.8,2403.4,963.8000000000001,11.5595,61.0,420.90000000000003,7686.0,274.5,1098.0,-28.38707989665837,-11.15453696666671,-30.5,-5.602759106099141e-15,1185.1461950775467,2411.029841269841,15.25,24.400000000000002,2490.08,29.865199999999998,157.6,1087.44,930.25,5.522680508593631,6209.44,8.87693640846886,998.5600000000001,5.621387729022079,0.143641,0.6156297588648554,4.0,1.4142135623730951,Septoria
2,4,3,23.5,34.6,36.8,0.253,3.0,23.8,3,0,4,0,111,82.0,3.0,12.0,1,0.9873494423939864,0.15855938510313475,1.0,6.123233995736766e-17,25.03242933483564,51.97061224489796,0,0.8,0.6,813.1,864.8,5.9455,70.5,559.3000000000001,1927.0,70.5,282.0,23.20271189625868,3.7261455499236664,23.5,1.43895998899814e-15,588.2620893686376,1221.309387755102,18.8,14.1,1273.28,8.7538,103.80000000000001,823.48,552.25,4.847679857416329,1197.16,5.882176467941097,1354.2399999999998,6.06630035524124,0.064009,0.5029910535983717,9.0,1.7320508075688772,Healthy
24,2,0,27.8,35.2,40.6,0.226,6.0,19.2,2,4,1,0,123,232.0,8.0,34.0,2,-0.7526668275320083,-0.6584015846980489,-0.8660254037844385,-0.5000000000000004,27.20898497185636,49.62222222222223,0,0.6,0.8,978.5600000000001,1128.68,6.2828,166.8,533.76,6449.6,222.4,945.2,-20.924137805389833,-18.303564054605758,-24.07550622520739,-13.900000000000013,756.4097822176068,1379.4977777777779,16.68,22.240000000000002,1429.1200000000001,7.9552000000000005,211.20000000000002,675.84,772.84,5.272570530585627,1239.0400000000002,5.932958789676531,1648.3600000000001,6.371812928829597,0.051076,0.4753945729601885,36.0,2.449489742783178,Septoria
1,1,2,17.9,53.1,29.5,0.177,6.0,35.4,2,4,2,0,134,227.0,8.0,33.0,2,-0.6932812268869771,-0.7206671495538615,-0.8660254037844385,-0.5000000000000004,26.10763024797829,82.8809523809524,0,0.7,0.9,950.4899999999999,528.05,3.1682999999999995,107.39999999999999,633.66,4063.2999999999997,143.2,590.6999999999999,-12.40973396127689,-12.89994197701412,-15.501854727741447,-8.950000000000006,467.32658143881133,1483.5690476190478,12.529999999999998,16.11,1566.45,9.3987,318.6,1879.74,320.40999999999997,4.230839160261236,2819.61,7.286974680894672,870.25,5.431390245600108,0.031328999999999996,0.4207136793592526,36.0,2.449489742783178,Anthracnose
5,4,2,21.8,91.2,4.3,0.61,5.0,21.0,2,4,2,0,145,233.0,8.0,34.0,2,-0.7638886127905429,-0.64534811322955,-0.8660254037844385,-0.5000000000000004,19.89777533006795,17.2,1,0.8,0.9,1988.16,93.74,13.298,109.0,457.8,5079.400000000001,174.4,741.2,-16.652771758833836,-14.06858886840419,-18.87935380250076,-10.90000000000001,433.77150219548133,374.96,17.44,19.62,392.15999999999997,55.632,456.0,1915.2,475.24,4.669047011971501,8317.44,9.549869109050658,18.49,2.073644135332772,0.3721,0.7810249675906654,25.0,2.23606797749979,Anthracnose
26,1,1,30.5,73.5,23.4,0.753,4.0,18.1,2,4,2,0,156,221.0,8.0,32.0,2,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,37.26537094240264,54.599999999999994,1,0.7,0.6,2241.75,713.6999999999999,22.9665,122.0,552.0500000000001,6740.5,244.0,976.0,-18.766180298881498,-24.043304202831024,-26.413774815425374,-15.250000000000014,1136.5938137432806,1665.2999999999997,21.349999999999998,18.3,1719.8999999999999,55.3455,294.0,1330.3500000000001,930.25,5.522680508593631,5402.25,8.573214099741124,547.56,4.8373546489791295,0.567009,0.8677557259966655,16.0,2.0,Septoria
6,1,2,21.5,74.1,3.7,0.57,3.0,12.3,2,0,2,0,167,42.0,2.0,6.0,3,0.6616346182422783,0.7498264012045686,0.8660254037844386,0.5000000000000001,22.795519770816146,12.185333333333334,2,0.7,0.9,1593.1499999999999,79.55,12.254999999999999,64.5,264.45,903.0,43.0,129.0,14.225144292208984,16.121267625898223,18.61954618136543,10.750000000000002,490.1036750725471,261.98466666666667,15.049999999999999,19.35,274.17,42.236999999999995,222.29999999999998,911.43,462.25,4.636809247747852,5490.8099999999995,8.608135686662937,13.690000000000001,1.9235384061671346,0.32489999999999997,0.7549834435270749,9.0,1.7320508075688772,Anthracnose
0,2,2,18.9,53.5,19.6,0.182,1.0,0.0,2,1,2,0,178,21.0,1.0,3.0,3,0.3536761221763716,0.9353679493131483,0.49999999999999994,0.8660254037844387,25.479600528140544,52.693467336683426,0,0.6,0.9,1011.15,370.44,3.4397999999999995,18.9,0.0,396.9,18.9,56.699999999999996,6.6844787091334235,17.6784542420185,9.449999999999998,16.36788013152589,481.5644499818562,995.9065326633166,11.339999999999998,17.009999999999998,1048.6000000000001,9.737,53.5,0.0,357.2099999999999,4.347413023856832,2862.25,7.314369419163897,384.1600000000001,4.427188724235731,0.033124,0.4266145801540308,1.0,1.0,Septoria
16,3,3,22.4,68.6,19.5,0.78,4.0,23.8,2,1,0,0,189,42.0,2.0,6.0,3,0.6616346182422783,0.7498264012045686,0.8660254037844386,0.5000000000000001,23.881606458516014,57.166666666666664,1,0.3,0.6,1536.6399999999999,436.79999999999995,17.471999999999998,89.6,533.12,940.8,44.8,134.39999999999998,14.820615448627033,16.796111386982336,19.398969044771423,11.200000000000001,534.9479846707587,1280.5333333333333,6.72,13.44,1337.6999999999998,53.507999999999996,274.4,1632.6799999999998,501.75999999999993,4.732863826479693,4705.959999999999,8.282511696339462,380.25,4.415880433163924,0.6084,0.8831760866327847,16.0,2.0,Anthracnose
21,0,1,30.7,30.7,3.2,0.622,3.0,32.7,3,4,1,0,1,113.0,4.0,17.0,1,0.9307239310379795,-0.36572252349726897,0.8660254037844387,-0.4999999999999998,29.48931540139343,3.0990536277602527,1,0.5,0.6,942.49,98.24000000000001,19.095399999999998,92.1,1003.8900000000001,3469.1,122.8,521.9,28.57322468286597,-11.227681471366157,26.586979896182267,-15.349999999999993,905.3219828227783,95.14094637223975,15.35,18.419999999999998,98.24000000000001,19.095399999999998,92.1,1003.8900000000001,942.49,5.540758070878027,942.49,5.540758070878027,10.240000000000002,1.7888543819998317,0.386884,0.7886697661252141,9.0,1.7320508075688772,Healthy
