N,P,K,temperature,humidity,ph,rainfall,label
75.38256119384589,58.63188887823032,34.45595471644144,25.34257894137238,81.13137963654025,6.488614310060848,261.953884885644,rice
85.94448008448117,61.25688590586662,40.04080494735511,19.49297926105506,73.72766872605409,6.853844821812263,359.407594146483,rice
70.39930380260029,50.55183149418027,42.7991374307511,26.073888800817386,77.5212762384838,5.88552827225081,252.80055537233596,rice
76.60306257997736,32.89401777425621,40.147902799080654,18.3440925499973,79.99191448580163,7.131204754438106,276.0437006771733,rice
72.32968304021878,50.94114935071144,42.151954728367286,25.709990526895616,76.80125555410206,6.8709277860618405,232.57491034920588,rice
76.96304042863336,46.92371999540514,33.698823469748795,21.576282738706045,85.61803854956518,6.394649231952837,241.14526613458682,rice
54.33823647576488,52.77935616910702,36.23507671038212,20.41413610952416,75.48016235211324,7.049867118700043,222.96907277537804,rice
85.80275383706237,53.453857371649065,39.56420493988949,23.59850642942945,85.9014716543246,6.722014532918427,285.1649259405625,rice
96.45258153616678,38.62529789316107,33.52127802920271,18.31106481934509,88.767056027322,6.612568641563848,276.84781052590506,rice
68.32451176763271,44.64952042212812,38.96865880113799,23.704969247812915,73.19602987273215,5.960424467355251,225.3444698441208,rice
73.39861497194597,50.35472044637849,41.67866420531647,23.76201241264268,84.27597774627236,6.472718663700808,175.5273918709629,rice
84.43801859149855,32.443878050089374,43.65242281877781,22.56373573527616,84.66369652763338,7.277689553652122,206.8113485497745,rice
78.91992850032433,49.00914513818607,39.863093173120106,24.15182321140364,80.98760891134465,6.946883544810603,265.0199734640204,rice
84.40227312174841,33.942455494162616,40.0422349085318,22.564055017065165,75.57540601087373,7.194475061344795,265.13755403271347,rice
89.94822065392144,46.51605923147358,38.71087473218948,25.767078791799275,77.51510897671541,6.295237492966721,224.22774620119802,rice
65.07658858884254,56.98036679854926,47.657824282953825,20.856538808495863,83.13178634442285,6.49879378829869,179.66466504161357,rice
70.30641317733784,42.49088679912902,40.71261465506862,19.829603767418522,84.03579707502492,5.812797400069938,233.7854669845675,rice
79.54902418126781,62.37215779224462,38.27380796771512,21.07390944264664,89.32787295937952,6.02982907706729,289.4937315533781,rice
70.13329973052883,28.94813981599376,48.760844016997694,25.555116676968286,84.71776698753739,6.343983608528681,259.5535536813245,rice
92.88127932419131,45.99639681493402,36.0423986796876,21.494253982433445,75.99192610729084,6.236484029913675,261.6124992078303,rice
84.96083925492903,36.477194922140754,37.32727505498114,29.971937666579493,79.5903863554631,6.836135534416252,290.89527933477166,rice
88.36899831540963,37.96421216278709,45.22568628861143,21.78540964578142,84.13160935686662,6.469012942522875,277.9687352365104,rice
74.14613723457069,45.05358364502029,39.1165509866548,20.687877465209382,82.13240097901715,6.913074488993686,226.5752444121847,rice
71.52906837012068,41.39569126533054,42.18206309871062,27.673654851765306,82.50654941384052,6.226388891652942,180.5468884222536,rice
87.2763705631276,42.97985271403415,45.983148707012774,23.838987262762636,77.31734496411899,6.662598319286861,233.22828995974828,rice
73.13074558366068,74.46280906568431,33.52712030640499,18.306533437737052,81.31476834261244,6.165773373573806,163.05667570886442,rice
96.44833400626784,39.88653915655461,46.70202525600434,23.347712125611487,87.72819933003444,6.495240644462307,198.45070461223713,rice
85.34387030813319,46.962374357490916,36.57069817082407,24.19819477723886,79.83748217366295,5.999577967288754,208.00827130939064,rice
70.7553199658636,40.200233352228786,36.75448906283179,25.274583673837355,83.9942773438676,6.247731907706372,262.02689316424056,rice
74.62744000545366,46.831848941953425,31.78287237044858,23.124421103745092,81.617900327673,5.742842960062455,189.3496509150729,rice
82.43779708184348,39.30664558926191,33.714758159992,23.683079816718163,73.10812920755572,6.156564031404184,249.96718355136014,rice
53.022390882490576,30.586064737872316,43.408412725275454,21.79102420836664,77.42461557021258,6.05338242765706,293.48938250806293,rice
87.24021984268691,48.38542540946303,35.35951595115124,25.41867125297843,72.12263832380152,6.147778959246752,193.98058974684253,rice
85.13296380124443,29.13904730413515,40.38836978920594,18.95607514091646,83.92579504258266,6.724786486359011,237.23271291614617,rice
95.11739899631918,46.444376927206875,40.548286077732044,19.078688539251036,77.83130451355879,5.747314974782011,250.1324091898353,rice
77.07602325626854,40.45089510433322,40.74476432060134,22.56198137346602,79.92410826924959,6.34938177932556,169.4379418807099,rice
84.11755365156984,50.96840419530425,40.27422290123742,20.904481497056324,90.24931369024925,5.88371891619093,224.34603529676878,rice
69.95629286558696,46.73473190259989,45.550326130488216,19.524913452390795,80.78259806638292,7.041454554558724,211.80132436469177,rice
