label,N,P,K,temperature,humidity,ph,rainfall
Almond,18.62268748393067,21.113449617615608,21.41371624182244,21.34421772456254,55.7066893195027,6.440367266938536,100.66269051951006
Almond,21.018424767807254,19.544157878484203,20.749675042046466,22.63062378235044,58.67161779855985,6.364540070051477,103.02301509062073
Almond,19.645173367225585,19.51702697635502,20.9350907810325,22.66179745422229,61.70282861328194,6.610943924971695,100.09147455610733
Almond,20.62989221898253,19.951340918971855,18.993669760387114,22.23077889632686,60.62003646511218,6.418878044346847,100.93443632869374
Almond,20.69675196539643,18.983166470505125,19.486950063139037,22.129913495877663,58.87748310637714,6.652298422045668,96.99272075276214
Almond,19.508025130272866,21.379281330167878,19.729319311189855,21.452967419176133,56.46099239854604,6.658681275539341,104.8071767019926
Almond,19.845043292038234,20.537814593909786,19.14996954129567,21.16239706915162,63.76698320000313,6.46462103610081,99.12459941096682
Almond,19.763688671222805,20.931635348564228,20.247095751736268,21.929530662648407,61.580913291695275,6.407001798633168,100.7913027280884
Almond,20.376886292857943,20.48533346128647,19.51373323864103,21.36563706373377,58.597963378510585,6.492449906742142,104.13458478819273
Almond,20.02593057482775,20.062268555197903,19.954945297054326,21.658221738157877,63.153214526093386,6.670839068872492,102.25435090140253
Almond,19.38439070710266,19.074331150969563,18.024029546523547,21.482717916457233,59.281280724792744,6.633918304691609,101.0731062277825
Almond,19.119727616351557,21.073825208186374,19.068568970970155,22.066225968386103,56.477313699944986,6.248404016277122,100.95829639312598
Almond,20.494279491905864,19.21701153717641,18.99677228381316,22.41149042311938,60.185662491818455,6.526327136110723,90.81300297265068
Almond,19.354083517720078,19.716446269493428,21.301546737968824,21.93850661022596,62.37638779714437,6.390420769318839,102.10765995035197
Almond,20.63827362472115,19.863919275713815,20.978972369544792,21.427031669983243,61.87319221299109,6.6461855893413855,94.36557200271895
Almond,20.13995506472942,21.136824735183325,22.005856594684712,22.773619030918486,59.502208500573516,6.7448380153222045,102.29526211077726
Almond,18.791919298677122,22.26814098747326,20.067168893899794,21.427165950374206,60.89017753055367,6.666529446028889,99.85104976768984
Almond,19.579501210709147,17.84242226456714,21.139780985088034,21.472298671729543,59.57252848529822,6.666527085544968,102.55259041964945
Almond,20.098461972736377,20.79483550241791,21.792004174194595,20.84924608370967,62.172486301026886,6.421242819745674,96.94608032228935
Almond,20.349942216057,22.58090219742448,19.418801755228685,21.691662169511073,62.71885261837603,6.26665863120426,108.70011101430498
Almond,20.416496580752625,20.42124348002256,21.74485146887751,22.08198242359183,57.752963102135524,6.415069597209112,93.35277075686297
Almond,19.556834799213075,19.602371199222866,20.624915043587347,22.387424792802836,60.404398928941504,6.605219741744097,103.75323986199957
Almond,21.195091535501742,20.111723153238458,21.17467384877383,22.807152072720175,60.30005449747309,6.617813339643175,101.69571625623553
Almond,18.543734878677476,19.285697186816844,20.86290853966539,22.32036319169436,59.369599033601396,6.587769316391237,98.26914235695003
Almond,20.630206949142973,18.617871510796974,19.477689828887986,22.552536311191794,58.859043874908785,6.543962664103304,104.58994305349944
Almond,19.672015183690068,19.50138402893302,19.86927219569542,21.291799178398207,63.27351352619609,6.309484493059981,105.73231210932515
Almond,20.65429749652273,18.88328688798337,20.301519245468274,22.02721828235604,56.46285006769944,6.412416928164629,93.86144068724698
Almond,19.10319499731584,20.540192018651716,20.24356702604784,21.90469838590415,59.81354955631332,6.374877993123578,96.04795082744573
Almond,19.466375829840533,18.82037926091079,21.004673571818433,21.412552853650514,59.85214543827974,6.518214890152463,95.56347432887652
Almond,19.591432485860846,21.18096369176091,18.897521029651692,20.842224307815833,60.03229006511778,6.439765529122616,91.8616879746434
Almond,19.159530755195654,20.939667975270286,19.00789730513218,21.912517690452788,59.30401328477247,6.473326692152632,107.95734756713605
Almond,20.2136618941185,19.08521421526682,17.897285472062688,21.41810192159671,60.43938494774494,6.35918055442713,103.01494206943035
Almond,19.789117613570554,20.434131520181218,19.79115787023659,21.300990883930627,63.43919106594209,6.653898007355021,98.12501889763402
Almond,22.151898522567688,20.100361367775605,18.744943542319024,22.56545962735806,59.99601248698659,6.551592284765612,99.88322542936754
